"TIME_PERIOD","BETA0","BETA1","BETA2","BETA3","TAU1","TAU2"
"2015-09-30",1.95494248028621,-2.37904863676528,20.2315605945095,-23.8395754899088,1.53417435430367,1.69128856922938
"2015-10-01",1.90413933044148,-2.27517891780737,20.2008861510753,-23.8705085874409,1.5930176125423,1.74095929441021
"2015-10-02",1.86454976214398,-2.19254976211561,20.2219731709418,-23.8457413278346,1.73172573473482,1.86937051944382
"2015-10-05",1.94417919023125,-2.2691791901956,20.1663497770141,-23.8992135712237,1.68546176136012,1.82591480234616
"2015-10-06",2.04798666694379,-2.34798666691039,20.0903414111305,-23.9730119532831,1.68552495748475,1.82591713755537
"2015-10-07",2.02664973587164,-2.35164973585288,20.131143708563,-23.9320332437622,1.68734942387954,1.82686234850603
"2015-10-08",1.98408747087867,-2.31108747093214,20.1612360534446,-23.9012482388472,1.71114610035855,1.84766400377921
"2015-10-09",2.03220855797492,-2.35720855797903,20.1317057926287,-23.9297445496702,1.71385110561915,1.85001657825264
"2015-10-12",1.99041835306753,-2.31841835306849,20.1494664189055,-23.9101774485291,1.71712473625686,1.8550643470268
"2015-10-13",2.02554192148748,-2.3475419214654,20.1140839791737,-23.9457156661602,1.71167073378872,1.85261682871913
"2015-10-14",1.99334766175393,-2.30334766177937,20.1063675097658,-23.9517506666743,1.70705990507895,1.85198373691745
"2015-10-15",1.98455646682672,-2.32855646682433,20.1424930650099,-23.9154554240582,1.73023083955426,1.87301352471618
"2015-10-16",1.97873638987911,-2.33573638994098,20.1680567028015,-23.889786374572,1.7345397609586,1.87612944274964
"2015-10-19",1.9991702967241,-2.31705286522013,20.1115031538952,-23.9483166698063,1.72210125002999,1.86208934212007
"2015-10-20",2.0614559788304,-2.37545597881083,20.110856787154,-23.9471026556725,1.70405481414937,1.84127476722561
"2015-10-21",2.01959883556107,-2.35859883552322,20.1449202008373,-23.9123679310745,1.73312111635654,1.873513823316
"2015-10-22",1.94919418919677,-2.28819418871521,20.0685321961495,-23.9890104556155,1.79853453865065,1.93589796124017
"2015-10-23",1.95244440272919,-2.30044440273132,20.070316505153,-23.986522769185,1.69702381261249,1.84197641795013
"2015-10-26",1.92299465979766,-2.28499465987905,20.1070424458441,-23.9496072601627,1.71628632707725,1.85723374814045
"2015-10-27",1.86422243150027,-2.24722243153074,20.1534608928136,-23.9023012753299,1.73677556082204,1.8786755502714
"2015-10-28",1.87354202516601,-2.24754202516259,20.1291719099764,-23.9267675627807,1.69309470862383,1.83568284409771
"2015-10-29",1.88012369595725,-2.24712369601608,20.141738354162,-23.9128929910772,1.65865198350287,1.79524880085112
"2015-10-30",1.91312299898415,-2.27912299898756,20.1357034556524,-23.9184634002102,1.66034124525355,1.79792737053479
"2015-11-02",1.97732948882458,-2.33232948882866,20.0921138224232,-23.9607920976529,1.65171630432913,1.79068482583476
"2015-11-03",2.00903403856234,-2.37103403846162,20.0547170956694,-23.9983494706905,1.65961178692149,1.80235965825626
"2015-11-04",2.05980708398721,-2.43180708369426,19.9921835616247,-24.0610683855999,1.66540242600774,1.81491806259828
